id,appId,displayName,servicePrincipalType,accountEnabled,csa_set,csa_attr
ec603491-540e-43c0-a5b0-7cd73ddb94fc,3395be58-d29c-42be-9c62-84b5d51d2e0f,Splunk Cloud DEV SOAR_Old,Application,TRUE,SSO,UniqueUserIdentifier
f088e962-af3f-44bf-b868-df6b9a32ee4f,40d015d5-9ac9-4ddf-b623-8d79387ab987,US-GG-APP-RMD_PROD_openid SSO,Application,TRUE,SSO,UniqueUserIdentifier
6077b351-b640-45a4-9981-1828711cbd1d,64e91d75-a071-48ea-a9f0-486de523132b,Nexthink Infinity,Application,TRUE,SSO,UniqueUserIdentifier
c523e580-6d56-41c4-a5eb-d748ddc69fa3,fa3e1556-a193-454c-a4cb-fdb33eeb162f,My 640420 Payroll Ondemand SSO,Application,TRUE,SSO,UniqueUserIdentifier
ea673173-3cb3-4215-bf14-bfb86b949ac6,3b74dc4a-3496-4344-bf26-eb78de636a35,Nationalgrid.com CMS (www.grainlng.com) SSO,Application,TRUE,SSO,UniqueUserIdentifier
f8aa2836-7f42-4d69-9d53-deaed9945ed5,43f06a26-511c-4a8d-960f-825cdf484bf7,Splunk Cloud DEV SOAR,Application,TRUE,SSO,UniqueUserIdentifier
596a4370-7144-45a4-8777-4202bdb90130,e10fae4a-c059-4c44-b19b-c098bf072186,GRAINLNG SSO,Application,TRUE,SSO,UniqueUserIdentifier
4d3924d4-e0dd-41ce-b16c-ddaf809c1230,696b3457-7d0d-4342-ae9e-6535047a256d,STLF-UAT SSO,Application,TRUE,SSO,UniqueUserIdentifier
ac3c463e-bbdf-4c8e-96ff-08105b65a350,ab537b8f-51aa-4e9b-9acd-cc5b5ee37801,SAP Fiori ABAP QAS ECC Q10 SSO,Application,TRUE,SSO,UniqueUserIdentifier
62dd5915-0ba3-413c-b14e-d1594766be63,eeeaf71b-ba56-4eda-a96d-7c3895675f7a,enTrader NGV Test SSO,Application,TRUE,SSO,UniqueUserIdentifier
b35607ac-94b0-4006-a0e7-d0841fa5d77b,39538c51-beea-40d3-8f8a-92ba73016e8d,enTrader NGV Prod SSO,Application,TRUE,SSO,UniqueUserIdentifier
c9e6a4e5-4947-41f7-b707-371770df6187,60ad1d2d-e2a3-4528-bfc5-53fa555b4a57,INACTIVE-TEST-Comaea CC and IDnD Test SSO,Application,TRUE,SSO,UniqueUserIdentifier
c4b4e00f-7d35-4a67-9aba-d094c7ad880c,f961647c-bdfe-4a8c-9498-e81d0613bbcd,SAP Fiori ABAP QAS GRC QG6 SSO,Application,TRUE,SSO,UniqueUserIdentifier
82716429-5e12-4425-a06b-587a2db45776,232d9fee-0d38-4f47-8dba-35b861da6aba,Relish Email Connector,Application,TRUE,SSO,UniqueUserIdentifier
0657fad6-c46f-4cbc-b30f-98397e2c6a5c,ff7b90e0-c1ef-4e9f-9dc1-2a9f8782bbe2,SAP ABAP QAS ECC QR9 SSO,Application,TRUE,SSO,UniqueUserIdentifier
0f29069f-b3b7-40fc-9bab-6a1fdc9e65d7,ad510568-b0c4-4c90-abc1-62c5b9a9bd54,SAP ABAP QAS Fiori QT9 SSO,Application,TRUE,SSO,UniqueUserIdentifier
52506f89-ac7e-4f62-9436-b42a24de11ed,de95a509-160b-4fb5-af3b-f15c06f519be,SuccessFactors T19 IAS,Application,TRUE,SSO,UniqueUserIdentifier
43611e4a-23c2-4a99-ae4c-51f844693edd,c9730f87-429b-4191-8bd3-f4c9b919d133,Acquia Optimize,Application,TRUE,SSO,UniqueUserIdentifier
09511b2b-37be-44b8-926c-785b184a37e3,6c78c4a4-1af9-4c6d-ac8b-ac2135a28f95,SAP Fiori US SS4- SBX 100,Application,TRUE,SSO,UniqueUserIdentifier
767c0b6c-401b-4c2d-9cff-66df07636f6a,1a41f80a-7c20-48f3-8fdf-1a035e0c1f53,Bitwarden SSO,Application,TRUE,SSO,UniqueUserIdentifier
33db50f7-2c4a-4c88-9578-701c0befeb21,0718b644-b0ef-48f4-bd53-9631cd7b339f,Palo Alto EDL-US SSO,Application,TRUE,SSO,UniqueUserIdentifier
19a2cab2-968a-439c-b42d-0a33f8bfffef,a02c09f3-1548-43b0-a84a-a7cfa1d70446,AppReg-DWSCC-PnPRemoveOrphanedAdminAccess-Prod,Application,FALSE,SSO,UniqueUserIdentifier
1c517199-8476-4632-af24-8ceba1363199,16e23362-25ec-4e99-9a11-e5922c8a3b9e,IoT Platform Production,Application,TRUE,SSO,UniqueUserIdentifier
af454c0e-345b-440e-bc62-e3bd4ab9db78,d7113309-bcaa-4b1b-b9a8-d9fa0a21d9a1,snaplogic-ipaas-Prod SSO,Application,TRUE,SSO,UniqueUserIdentifier
4b064d38-5bc1-4085-9d4c-4d55500c1f39,4e44a356-00ec-4b17-9a44-800d8cf073a0,GTIS2-Pre-Prod SSO,Application,TRUE,SSO,UniqueUserIdentifier
2478294b-3820-4f16-81f2-b3cca20309f9,dbf85e74-ec62-4457-b50d-3164106759e7,DVN AVM DEV PROJECTS SSO,Application,TRUE,SSO,UniqueUserIdentifier
f779a468-718b-4ab6-b452-a359708b6f0a,4cfd5c44-9c7e-48ba-b224-27580ae67ccf,HappyFox SSO,Application,TRUE,SSO,UniqueUserIdentifier
2e760362-d379-473d-8afc-a023f09c2a15,1f0a0c80-f249-4047-a609-8e57ccbae0d9,aae-fof-uks-aaeresp-app-01 SSO,Application,TRUE,SSO,UniqueUserIdentifier
5574acdf-6a8f-4e7a-9507-ca4a4e238409,8d6b81c6-0bd4-4c3f-8f28-467eb9df3346,Acquia SEO (Conductor) SSO,Application,TRUE,SSO,UniqueUserIdentifier
7fa1a823-649a-495f-b99a-e944299a506c,500bfc70-67d9-49c4-a75f-61d87a928189,SAP Fiori US DS4- DEV 100,Application,TRUE,SSO,UniqueUserIdentifier
98981584-ff04-45f3-b57a-44da8306722f,8c6196f9-68e9-4a43-9fc4-5c4121c1c224,SAP Fiori US DS4- DEV 300,Application,TRUE,SSO,UniqueUserIdentifier
b9c53581-6231-43cc-8183-dcf18bce1278,1e4c4087-70bc-488c-93aa-2e4831c9ce5e,MarketPlace_UAT SSO,Application,TRUE,SSO,UniqueUserIdentifier
c3f6b1bb-b5bf-4e7f-838d-47baa8407546,43849d78-d335-4d68-9f4a-0d63d5d37281,SAP Fiori US DS4- DEV 400,Application,TRUE,SSO,UniqueUserIdentifier
dfb1f608-32e9-48b5-bb6a-e562574d7a95,c554c3b2-3502-4824-9c32-13c6431b4985,SAP GRC US DC1- DEV 100,Application,TRUE,SSO,UniqueUserIdentifier
9c0d8ebe-5b8e-4dd8-950b-e313f63ff2a9,312184b0-387e-4694-9db1-bbe786423567,Architecture Workbench SSO,Application,TRUE,SSO,UniqueUserIdentifier
5d26e678-b2ed-4425-82cf-1f35ce163792,d3758d3a-3370-4a34-ba42-fed8fe8cca95,SAP SSFS US J3F- Dev 100 SSO,Application,TRUE,SSO,UniqueUserIdentifier
94af9790-eb4c-4bbd-b35e-fce8bf7e9499,e1758be1-d4ba-4817-bf82-bcc37ee3a2ae,HireVue T2O Sandbox SSO,Application,TRUE,SSO,UniqueUserIdentifier
96425ec8-2080-4ba2-8278-287c2c0587f9,04770588-6bcb-48ce-937d-b03f3bf82826,Broadcom SSO,Application,TRUE,SSO,UniqueUserIdentifier
89f75893-4fe2-41b5-8454-12815347453a,ecee7740-c923-4594-b29a-e4836b226c3c,SuccessFactors T6 IAS,Application,TRUE,SSO,UniqueUserIdentifier
f8b175bb-bbaa-4a1a-bc44-e228ae449d70,a76a47a7-6ef9-41ae-adb1-74ad5c0fe770,SAP SuccessFactors HappyDance,Application,TRUE,SSO,UniqueUserIdentifier
9f3e8541-6e45-4ce1-bf49-d3fe30a2402e,2aaaff82-8875-4389-9d9d-e91419910da0,STLF-PROD SSO ,Application,TRUE,SSO,UniqueUserIdentifier
29b6e078-372f-4234-8695-13b08ba7bd0c,78de4105-71c2-4e9c-81a2-2bffd5fea0d1,oracle analytics server (OASFOFRCU) SSO,Application,TRUE,SSO,UniqueUserIdentifier
18f2e72b-3e5f-4f42-8e0a-c8e0e4c31fc4,75748220-c117-4659-868e-d694061e5b7e,Intune Pentest SSO,Application,TRUE,SSO,UniqueUserIdentifier
0dcc3be8-f6be-4e3b-9573-2c28d30c0358,8fb4e4f6-eeac-490b-be64-0e224fd4b5ce,AAR-NY-UAT SSO,Application,TRUE,SSO,UniqueUserIdentifier
6d34cfa1-e4eb-4e45-a89d-47f2c38a0798,282daa6f-aacd-46bb-9242-652f1fb8430d,My 640421 Payroll Ondemand SSO,Application,TRUE,SSO,UniqueUserIdentifier
0dc8eb60-ad2d-4c09-9367-b2b5f92cb63e,ef38047c-3301-4184-ae55-09f4912d741e,My 640422 Payroll Ondemand SSO,Application,TRUE,SSO,UniqueUserIdentifier
bba650cf-f2d7-4b2d-b83a-7966948aa6fa,99b5e410-b11b-484b-b796-4c69d7e09138,DEPGrafana SSO,Application,TRUE,SSO,UniqueUserIdentifier
e5a2ca32-6620-4d41-8548-467247dfda82,97a8d747-be9c-45a0-a5b7-266a9ae4f10c,aae-fof-uks-aaemfrm-app-01 SSO,Application,TRUE,SSO,UniqueUserIdentifier
b5ea0188-f696-454f-be63-ad01984196f4,0d9a6ea4-724b-4a2d-b84e-5d9a4b91c1c1,Connect AI Dev SSO,Application,TRUE,SSO,UniqueUserIdentifier
4707ae9b-9826-433e-ae8a-5ccf6919707b,4181b16e-4506-4699-8dd4-32182e6b8a0e,YubiEnterprise Console POC,Application,TRUE,SSO,UniqueUserIdentifier
10cbb513-3265-492f-9e29-76e39f54d660,9264dd44-15d5-478b-8047-80af5164c086,WorkForce Time and Attendance DEV SSO,Application,TRUE,SSO,UniqueUserIdentifier
4c75cb0e-b7a4-443e-8a4b-e1ac7be0f462,c948d077-6e5e-42ba-af6a-68fbfe3234fc,S4BFiori SSO,Application,TRUE,SSO,UniqueUserIdentifier
ac80196b-b532-464c-a3e6-cc3170297863,53684bfc-705e-47d5-976a-c624d467784c,Line Diagram Analyzer UAT,Application,TRUE,SSO,UniqueUserIdentifier
d1e8641b-9ef8-4bf7-8a60-5c2f2a8d5e16,351acbf6-ae53-44dd-910d-9f54aaf28138,SentinelOne (SSN Environment) SSO,Application,TRUE,SSO,UniqueUserIdentifier
eea5d4b3-7b52-45c1-a833-82b369945792,e6f9d8e8-78da-4d8a-b660-c951d7013416,etdigital-thermalratings-api-prod SSO,Application,TRUE,SSO,UniqueUserIdentifier
82f6613c-ec2f-46a3-bfdd-5ecaacb7992a,35a2b6c3-91d0-4db0-98f0-bf2ddaf7e310,etdigital-thermalratings-spa-prod SSO,Application,TRUE,SSO,UniqueUserIdentifier
d10952e3-baeb-4fbb-a4a0-be598b7ee4fa,19fa6bce-01ec-49cf-a885-54b21deea73c,Connect AI Test SSO,Application,TRUE,SSO,UniqueUserIdentifier
a0d42b7d-9e62-44f9-ac94-daa61fe994a3,8cee2818-c018-48a1-b7f2-b89f6a7ff2b5,YubiEnroll,Application,TRUE,SSO,UniqueUserIdentifier
89e77b87-1b93-4035-abd5-669e9a04190d,68e6c27f-1a17-4d73-856a-e72c2fb73730,SAP Blackline_Dev_Test SSO,Application,TRUE,SSO,UniqueUserIdentifier
ef6b5ca6-c73a-4b9f-b3c3-57deeb1752a7,7c3ba6c1-ddba-4e13-a9c4-76b8ec62e395,Enhanced Attack Paths Preprod SSO,Application,TRUE,SSO,UniqueUserIdentifier
7dbddaa1-2e2d-4e06-b792-c5438d0bf0ae,e6ce44e6-e82e-4719-960c-31588ea6cb6e,Confluence atlassian Dev SSO,Application,TRUE,SSO,UniqueUserIdentifier
e575902f-e47e-48d3-9a5c-1f3f98657f40,ba933f87-38f0-4453-a7ba-baf9784ea9ff,Innovation Day SSO,Application,TRUE,SSO,UniqueUserIdentifier
d833e229-9caf-44ce-a058-d0dbe86e9339,6cfa002a-c7ed-4d39-9a62-5604b8676ffd,L+G KeyCloak NonProd SSO,Application,TRUE,SSO,UniqueUserIdentifier
22729f58-5e29-460f-b7e8-b43b3dc8aea0,3a3dcf4c-3878-4590-884e-1b0afcfb4eec,Connect AI Website,Application,TRUE,SSO,UniqueUserIdentifier
bf6e52bf-c961-430f-a99b-8b5eead60291,685acebc-b52b-456e-a33b-efde62f804b6,SuccessFactors D2 IAS SSO,Application,TRUE,SSO,UniqueUserIdentifier
0b638e6a-18ae-4ac8-84eb-cdef12f7b20b,30ac3b67-2161-4434-af39-1b5f7ea53ecf,GTIS2-prod-cus-durable-function-monitor SSO,Application,TRUE,SSO,UniqueUserIdentifier
